title,url,description,author,scraped_at,source
Ben McKenzie Says Crypto Has a Secret Ingredient: Male Loneliness,https://www.wired.com/story/wired-at-night-event-ben-mckenzie-reads-mean-tweets/,The actor-director discussed his least favorite currency and read a series of mean tweets—about us!—at our inaugural WIRED@Night event.,WIRED STAFF,2026-04-21T09:36:54.191761,Wired.com
How China’s ‘Crystal Capital’ Cornered the Market on a Western Obsession,https://www.wired.com/story/china-crystal-capital/,"Decades ago, Donghai was a backwater county. Today, thanks to an army of 24/7 livestreamers, it orchestrates a multibillion-dollar global industry.","LOUISE MATSAKIS
RACHEL ZHENG",2026-04-21T09:36:58.196719,Wired.com
Security News This Week: Iranian Hackers Breached Kash Patel’s Email—but Not the FBI’s,https://www.wired.com/story/iranian-hackers-breached-the-fbi-directors-personal-email-but-not-the-fbi/,"Plus: Apple makes big claims about the effectiveness of its Lockdown Mode anti-spyware feature, Russia moves to implement homegrown encryption for 5G, and more.","ANDY GREENBERG
DELL CAMERON
LILY HAY NEWMAN
ANDREW COUTS",2026-04-21T09:37:02.630788,Wired.com
A $20 Billion Crypto Scam Market Faces a New Government Crackdown,https://www.wired.com/story/20-billion-xinbi-guarantee-uk-sanctions/,The Telegram-based Xinbi Guarantee black market sells services that help prop up scam operations. British officials just hit the highly lucrative marketplace with sweeping sanctions.,"MATT BURGESS
LILY HAY NEWMAN",2026-04-21T09:37:06.404734,Wired.com
"6,000 Meters Under the Pacific, Japan Seeks Independence From China on Rare Earths",https://www.wired.com/story/under-the-pacific-japan-seeks-independence-from-china-on-rare-earths/#intcid=_wired-verso-hp-trending_bf291dbd-5aaa-4790-8103-de4486dccd99_popular4-2,"Tokyo is succeeding where the rest of the world has failed, reducing its reliance on Beijing for crucial rare earth elements—thanks to an enormous underwater deposit discovered on a remote island.",LORENZO LAMPERTI,2026-04-21T09:37:10.809687,Wired.com
When a Houseplant Obsession Becomes a Nightmare,https://www.wired.com/story/nightmare-houseplant-obsession-nepenthes/,"Some of us just can’t resist the allure of the carnivorous Nepenthes. They’re beautiful, rare, and in every way life-consuming.",BRIAN HOWEY,2026-04-21T09:37:14.890741,Wired.com
Politicians Are Spending More Money on Security as They Increasingly Become Targets,https://www.wired.com/story/political-campaign-security-spending/,"Political candidates are purchasing more home alarms, bulletproof vests, and other protections amid rising fears of political violence.",MADDY VARNER,2026-04-21T09:37:18.606525,Wired.com
Apple Still Plans to Sell iPhones When It Turns 100,https://www.wired.com/story/apple-50-year-anniversary-artificial-intelligence-iphone/,"As the tech giant turns 50, WIRED spoke to executives about how they plan to win in the AI era.",STEVEN LEVY,2026-04-21T09:37:22.259794,Wired.com
The Dollar Is Facing an End to Its Dominance,https://www.wired.com/story/the-dollar-is-facing-an-end-to-its-dominance/,"Questions around the reliability of the US greenback are dulling the luster of what was the world’s currency of trade. New, global alternatives are emerging.",KEYU JIN,2026-04-21T09:37:26.137551,Wired.com
A New Game Turns the H-1B Visa System Into a Surreal Simulation,https://www.wired.com/story/made-in-china-a-new-game-turns-the-h-1b-visa-system-into-a-surreal-simulation/,"Inspired by real immigrant stories, H1B.Life captures the uncertainty, trade-offs, and pure luck that shape the lives of people trying to build a future in the US.",ZEYI YANG,2026-04-21T09:37:29.812615,Wired.com
The Influencers Normalizing Not Having Sex,https://www.wired.com/story/the-influencers-normalizing-not-having-sex/,"From a celibate porn star to an asexual ex-Mormon, the internet is full of people who are abstaining from sex—and it’s not just incels.",SKYE BATTLES,2026-04-21T09:37:33.536882,Wired.com
